grade,term,total_loans,total_loan_amnt,avg_int_rate,avg_dti,avg_annual_inc,default_rate_pct
A,36,230451,3169518375.0,7.09,15.65,88561.89,6.55
A,60,6405,123892750.0,7.86,14.72,104506.8,12.21
B,36,349696,4287453025.0,10.68,17.41,74265.31,13.86
B,60,49187,1006741500.0,10.7,17.22,92747.72,20.28
C,36,281803,3398343375.0,13.93,18.98,68577.22,21.94
C,60,109550,2176150550.0,14.28,18.79,83625.9,30.14
D,36,129600,1609383300.0,17.69,20.04,65687.29,28.54
D,60,77787,1564691800.0,17.83,20.46,77732.48,38.58
E,36,37349,463412750.0,21.23,20.75,62679.27,34.22
E,60,59411,1237861850.0,21.14,20.92,77840.75,43.74
F,36,7592,85948900.0,24.88,20.32,58572.8,38.94
F,60,25483,544570300.0,24.96,21.23,77425.81,48.65
G,36,1734,25026800.0,27.49,21.67,66237.4,48.21
G,60,7867,171188700.0,27.64,21.46,78706.82,51.75
