cohort,total_loans,total_loan_amnt,default_rate_pct
2007-Q2,24,91850.0,12.5
2007-Q3,190,1236575.0,21.05
2007-Q4,389,3649050.0,29.56
2008-Q1,1013,10035275.0,23.1
2008-Q2,498,3722950.0,22.09
2008-Q3,298,1766600.0,17.45
2008-Q4,584,5594425.0,17.12
2009-Q1,895,8246350.0,13.74
2009-Q2,1098,10115075.0,14.39
2009-Q3,1364,13302025.0,12.76
2009-Q4,1924,20264800.0,13.93
2010-Q1,2172,23510700.0,11.69
2010-Q2,3006,31288275.0,14.67
2010-Q3,3568,36290975.0,15.05
2010-Q4,3791,40902600.0,13.85
2011-Q1,4126,45993175.0,13.69
2011-Q2,5102,57810225.0,15.35
2011-Q3,5876,70422775.0,14.65
2011-Q4,6617,87457650.0,16.44
2012-Q1,8076,109814950.0,16.15
2012-Q2,10447,137366225.0,17.03
2012-Q3,16133,207400925.0,16.45
2012-Q4,18711,263828925.0,15.54
2013-Q1,22706,352889250.0,15.02
2013-Q2,30668,446225625.0,16.25
2013-Q3,37571,538720625.0,15.56
2013-Q4,43862,644816500.0,15.47
2014-Q1,47061,701611025.0,16.57
2014-Q2,52540,761741050.0,18.75
2014-Q3,55349,806375175.0,18.97
2014-Q4,68560,991595725.0,19.57
2015-Q1,77031,1142572350.0,20.33
2015-Q2,86280,1259987975.0,20.89
2015-Q3,98336,1456110850.0,20.59
2015-Q4,115537,1672501650.0,20.34
2016-Q1,113142,1695352900.0,21.21
2016-Q2,64079,926906625.0,26.66
2016-Q3,62289,878196025.0,27.62
2016-Q4,59043,827255075.0,26.1
2017-Q1,48608,708789825.0,25.69
2017-Q2,46600,663491025.0,27.25
2017-Q3,46682,661050225.0,28.55
2017-Q4,36927,544696650.0,27.5
2018-Q1,25065,388970800.0,27.62
2018-Q2,21434,327729525.0,29.54
2018-Q3,12420,186696100.0,25.19
2018-Q4,6223,89789025.0,21.13
